weak,strong,grade,anchor,pragmatic,logical
allowed,obligatory,A,Employees are allowed to take breaks during their shifts.,Employees are not obligated to take breaks during their shifts.,Employees are obligated to take breaks during their shifts.
allowed,obligatory,A,Guests are allowed to bring their own drinks to the party.,Guests are not obligated to bring their own drinks to the party.,Guests are obligated to bring their own drinks to the party.
allowed,obligatory,A,Children are allowed to choose their own toys at the store.,Children are not obligated to choose their own toys at the store.,Children are obligated to choose their own toys at the store.
allowed,obligatory,A,Members are allowed to attend the meeting remotely.,Members are not obligated to attend the meeting remotely.,Members are obligated to attend the meeting remotely.
allowed,obligatory,A,Pets are allowed to sit on the furniture.,Pets are not obligated to sit on the furniture.,Pets are obligated to sit on the furniture.
allowed,obligatory,A,Players are allowed to switch characters during gameplay.,Players are not obligated to switch characters during gameplay.,Players are obligated to switch characters during gameplay.
allowed,obligatory,A,Volunteers are allowed to choose their projects.,Volunteers are not obligated to choose their projects.,Volunteers are obligated to choose their projects.
allowed,obligatory,A,Members are allowed to make suggestions for the agenda.,Members are not obligated to make suggestions for the agenda.,Members are obligated to make suggestions for the agenda.
allowed,obligatory,A,Drivers are allowed to park in designated areas.,Drivers are not obligated to park in designated areas.,Drivers are obligated to park in designated areas.
allowed,obligatory,A,Students are allowed to collaborate on group projects.,Students are not obligated to collaborate on group projects.,Students are obligated to collaborate on group projects.
allowed,obligatory,A,Employees are allowed to leave early on Fridays.,Employees are not obligated to leave early on Fridays.,Employees are obligated to leave early on Fridays.
allowed,obligatory,A,Participants are allowed to ask questions during the presentation.,Participants are not obligated to ask questions during the presentation.,Participants are obligated to ask questions during the presentation.
allowed,obligatory,A,Members are allowed to vote on club decisions.,Members are not obligated to vote on club decisions.,Members are obligated to vote on club decisions.
allowed,obligatory,A,Children are allowed to play outside after school.,Children are not obligated to play outside after school.,Children are obligated to play outside after school.
allowed,obligatory,A,Guests are allowed to bring a plus one to the wedding.,Guests are not obligated to bring a plus one to the wedding.,Guests are obligated to bring a plus one to the wedding.
allowed,obligatory,A,Attendees are allowed to network during the conference.,Attendees are not obligated to network during the conference.,Attendees are obligated to network during the conference.
allowed,obligatory,A,Members are allowed to share their opinions in the discussion.,Members are not obligated to share their opinions in the discussion.,Members are obligated to share their opinions in the discussion.
allowed,obligatory,A,Drivers are allowed to use the carpool lane.,Drivers are not obligated to use the carpool lane.,Drivers are obligated to use the carpool lane.
allowed,obligatory,A,Students are allowed to attend after-school clubs.,Students are not obligated to attend after-school clubs.,Students are obligated to attend after-school clubs.
allowed,obligatory,A,Students are allowed to choose their own topics for the essay.,Students are not obligated to choose their own topics for the essay.,Students are obligated to choose their own topics for the essay.
allowed,obligatory,A,Employees are allowed to work from home on Wednesdays.,Employees are not obligated to work from home on Wednesdays.,Employees are obligated to work from home on Wednesdays.
allowed,obligatory,A,Visitors are allowed to take pictures in the museum.,Visitors are not obligated to take pictures in the museum.,Visitors are obligated to take pictures in the museum.
allowed,obligatory,A,Students are allowed to retake the exam if they fail.,Students are not obligated to retake the exam if they fail.,Students are obligated to retake the exam if they fail.
allowed,obligatory,A,Citizens are allowed to express their opinions freely.,Citizens are not obligated to express their opinions freely.,Citizens are obligated to express their opinions freely.
allowed,obligatory,A,Employees are allowed to attend training sessions.,Employees are not obligated to attend training sessions.,Employees are obligated to attend training sessions.
allowed,obligatory,A,Students are allowed to participate in sports activities.,Students are not obligated to participate in sports activities.,Students are obligated to participate in sports activities.
allowed,obligatory,A,Employees are allowed to work overtime if they choose.,Employees are not obligated to work overtime if they choose.,Employees are obligated to work overtime if they choose.
allowed,obligatory,A,Volunteers are allowed to provide feedback on the project.,Volunteers are not obligated to provide feedback on the project.,Volunteers are obligated to provide feedback on the project.
allowed,obligatory,A,Students are allowed to bring snacks to class.,Students are not obligated to bring snacks to class.,Students are obligated to bring snacks to class.
allowed,obligatory,A,Customers are allowed to select their own seats at the theater.,Customers are not obligated to select their own seats at the theater.,Customers are obligated to select their own seats at the theater.
allowed,obligatory,A,Participants are allowed to join the discussion at any time.,Participants are not obligated to join the discussion at any time.,Participants are obligated to join the discussion at any time.
allowed,obligatory,A,Readers are allowed to borrow books from the library.,Readers are not obligated to borrow books from the library.,Readers are obligated to borrow books from the library.
allowed,obligatory,A,Travelers are allowed to check in online before their flight.,Travelers are not obligated to check in online before their flight.,Travelers are obligated to check in online before their flight.
allowed,obligatory,A,Children are allowed to wear costumes for Halloween.,Children are not obligated to wear costumes for Halloween.,Children are obligated to wear costumes for Halloween.
allowed,obligatory,A,Guests are allowed to leave feedback about their stay.,Guests are not obligated to leave feedback about their stay.,Guests are obligated to leave feedback about their stay.
allowed,obligatory,A,Pets are allowed to visit certain parks.,Pets are not obligated to visit certain parks.,Pets are obligated to visit certain parks.
allowed,obligatory,A,Employers are allowed to offer flexible work hours.,Employers are not obligated to offer flexible work hours.,Employers are obligated to offer flexible work hours.
allowed,obligatory,A,Members are allowed to bring guests to the event.,Members are not obligated to bring guests to the event.,Members are obligated to bring guests to the event.
allowed,obligatory,A,Participants are allowed to share personal experiences in the workshop.,Participants are not obligated to share personal experiences in the workshop.,Participants are obligated to share personal experiences in the workshop.
