weak,strong,grade,anchor,pragmatic,logical,alpha,sim_internal_logical,sim_internal_pragmatic,pref_internal,sim_steered_logical,sim_steered_pragmatic,pref_steered
allowed,obligatory,A,Employees are allowed to take breaks during their shifts.,Employees are not obligated to take breaks during their shifts.,Employees are obligated to take breaks during their shifts.,20.0,0.9991974830627441,0.9986302852630615,0,0.9957149028778076,0.9965781569480896,1
allowed,obligatory,A,Guests are allowed to bring their own drinks to the party.,Guests are not obligated to bring their own drinks to the party.,Guests are obligated to bring their own drinks to the party.,20.0,0.9984415769577026,0.9982931613922119,0,0.9904968738555908,0.9926452040672302,1
allowed,obligatory,A,Children are allowed to choose their own toys at the store.,Children are not obligated to choose their own toys at the store.,Children are obligated to choose their own toys at the store.,20.0,0.9985036253929138,0.9976763725280762,0,0.9929255247116089,0.9939989447593689,1
allowed,obligatory,A,Members are allowed to attend the meeting remotely.,Members are not obligated to attend the meeting remotely.,Members are obligated to attend the meeting remotely.,20.0,0.99892657995224,0.9987202882766724,0,0.9963794946670532,0.9975309371948242,1
allowed,obligatory,A,Pets are allowed to sit on the furniture.,Pets are not obligated to sit on the furniture.,Pets are obligated to sit on the furniture.,20.0,0.9986671209335327,0.9983119368553162,0,0.9961698055267334,0.9970340728759766,1
allowed,obligatory,A,Players are allowed to switch characters during gameplay.,Players are not obligated to switch characters during gameplay.,Players are obligated to switch characters during gameplay.,20.0,0.9990547895431519,0.9988468885421753,0,0.996577262878418,0.9977285861968994,1
allowed,obligatory,A,Volunteers are allowed to choose their projects.,Volunteers are not obligated to choose their projects.,Volunteers are obligated to choose their projects.,20.0,0.9991730451583862,0.9989550709724426,0,0.9967671036720276,0.9975277185440063,1
allowed,obligatory,A,Members are allowed to make suggestions for the agenda.,Members are not obligated to make suggestions for the agenda.,Members are obligated to make suggestions for the agenda.,20.0,0.9989030361175537,0.9984799027442932,0,0.9954707622528076,0.9966275691986084,1
allowed,obligatory,A,Drivers are allowed to park in designated areas.,Drivers are not obligated to park in designated areas.,Drivers are obligated to park in designated areas.,20.0,0.9990999698638916,0.9986169338226318,0,0.9964935779571533,0.9972953796386719,1
allowed,obligatory,A,Students are allowed to collaborate on group projects.,Students are not obligated to collaborate on group projects.,Students are obligated to collaborate on group projects.,20.0,0.9990369081497192,0.9987407326698303,0,0.9963693618774414,0.9974302649497986,1
allowed,obligatory,A,Employees are allowed to leave early on Fridays.,Employees are not obligated to leave early on Fridays.,Employees are obligated to leave early on Fridays.,20.0,0.9993017315864563,0.9989110231399536,0,0.9967119693756104,0.9975830912590027,1
allowed,obligatory,A,Participants are allowed to ask questions during the presentation.,Participants are not obligated to ask questions during the presentation.,Participants are obligated to ask questions during the presentation.,20.0,0.9987987279891968,0.99855637550354,0,0.9952471256256104,0.996558666229248,1
allowed,obligatory,A,Members are allowed to vote on club decisions.,Members are not obligated to vote on club decisions.,Members are obligated to vote on club decisions.,20.0,0.9992067813873291,0.9988689422607422,0,0.9967606663703918,0.9976620078086853,1
allowed,obligatory,A,Children are allowed to play outside after school.,Children are not obligated to play outside after school.,Children are obligated to play outside after school.,20.0,0.9989457726478577,0.9984898567199707,0,0.9964130520820618,0.9972183704376221,1
allowed,obligatory,A,Guests are allowed to bring a plus one to the wedding.,Guests are not obligated to bring a plus one to the wedding.,Guests are obligated to bring a plus one to the wedding.,20.0,0.9983353614807129,0.9981733560562134,0,0.9902362823486328,0.9926691651344299,1
allowed,obligatory,A,Attendees are allowed to network during the conference.,Attendees are not obligated to network during the conference.,Attendees are obligated to network during the conference.,20.0,0.9990869760513306,0.9989200830459595,0,0.9957466721534729,0.997075080871582,1
allowed,obligatory,A,Members are allowed to share their opinions in the discussion.,Members are not obligated to share their opinions in the discussion.,Members are obligated to share their opinions in the discussion.,20.0,0.9982898235321045,0.9978005290031433,0,0.9935258030891418,0.9949663877487183,1
allowed,obligatory,A,Drivers are allowed to use the carpool lane.,Drivers are not obligated to use the carpool lane.,Drivers are obligated to use the carpool lane.,20.0,0.9990175366401672,0.998714804649353,0,0.9955446124076843,0.9966549873352051,1
allowed,obligatory,A,Students are allowed to attend after-school clubs.,Students are not obligated to attend after-school clubs.,Students are obligated to attend after-school clubs.,20.0,0.9989903569221497,0.9988147020339966,0,0.996387243270874,0.9974595904350281,1
allowed,obligatory,A,Students are allowed to choose their own topics for the essay.,Students are not obligated to choose their own topics for the essay.,Students are obligated to choose their own topics for the essay.,20.0,0.9988193511962891,0.9981173276901245,0,0.9927747249603271,0.9941645860671997,1
allowed,obligatory,A,Employees are allowed to work from home on Wednesdays.,Employees are not obligated to work from home on Wednesdays.,Employees are obligated to work from home on Wednesdays.,20.0,0.99886155128479,0.9983752965927124,0,0.9928632974624634,0.9944742918014526,1
allowed,obligatory,A,Visitors are allowed to take pictures in the museum.,Visitors are not obligated to take pictures in the museum.,Visitors are obligated to take pictures in the museum.,20.0,0.9981694221496582,0.998135507106781,0,0.9930242300033569,0.994868278503418,1
allowed,obligatory,A,Students are allowed to retake the exam if they fail.,Students are not obligated to retake the exam if they fail.,Students are obligated to retake the exam if they fail.,20.0,0.998720109462738,0.9983243346214294,0,0.9924437999725342,0.9942023158073425,1
allowed,obligatory,A,Citizens are allowed to express their opinions freely.,Citizens are not obligated to express their opinions freely.,Citizens are obligated to express their opinions freely.,20.0,0.9991017580032349,0.9983627796173096,0,0.995590329170227,0.9963165521621704,1
allowed,obligatory,A,Employees are allowed to attend training sessions.,Employees are not obligated to attend training sessions.,Employees are obligated to attend training sessions.,20.0,0.9991501569747925,0.9988384246826172,0,0.9972658753395081,0.9979879260063171,1
allowed,obligatory,A,Students are allowed to participate in sports activities.,Students are not obligated to participate in sports activities.,Students are obligated to participate in sports activities.,20.0,0.9985772371292114,0.9983976483345032,0,0.9957531690597534,0.9968923330307007,1
allowed,obligatory,A,Employees are allowed to work overtime if they choose.,Employees are not obligated to work overtime if they choose.,Employees are obligated to work overtime if they choose.,20.0,0.9990622401237488,0.9984874725341797,0,0.99553382396698,0.9962871670722961,1
allowed,obligatory,A,Volunteers are allowed to provide feedback on the project.,Volunteers are not obligated to provide feedback on the project.,Volunteers are obligated to provide feedback on the project.,20.0,0.9987291097640991,0.9984068274497986,0,0.9940866231918335,0.9954226016998291,1
allowed,obligatory,A,Students are allowed to bring snacks to class.,Students are not obligated to bring snacks to class.,Students are obligated to bring snacks to class.,20.0,0.9988671541213989,0.9986377954483032,0,0.9961037635803223,0.9972503781318665,1
allowed,obligatory,A,Customers are allowed to select their own seats at the theater.,Customers are not obligated to select their own seats at the theater.,Customers are obligated to select their own seats at the theater.,20.0,0.9987599849700928,0.9982085227966309,0,0.9928762316703796,0.9943580031394958,1
allowed,obligatory,A,Participants are allowed to join the discussion at any time.,Participants are not obligated to join the discussion at any time.,Participants are obligated to join the discussion at any time.,20.0,0.997981071472168,0.9976311326026917,0,0.9929053783416748,0.9945443868637085,1
allowed,obligatory,A,Readers are allowed to borrow books from the library.,Readers are not obligated to borrow books from the library.,Readers are obligated to borrow books from the library.,20.0,0.998566746711731,0.9983096122741699,0,0.9942818880081177,0.9955851435661316,1
allowed,obligatory,A,Travelers are allowed to check in online before their flight.,Travelers are not obligated to check in online before their flight.,Travelers are obligated to check in online before their flight.,20.0,0.9987894296646118,0.9985622763633728,0,0.9928569793701172,0.9944959878921509,1
allowed,obligatory,A,Children are allowed to wear costumes for Halloween.,Children are not obligated to wear costumes for Halloween.,Children are obligated to wear costumes for Halloween.,20.0,0.998958945274353,0.9985525012016296,0,0.9963585138320923,0.9972389936447144,1
allowed,obligatory,A,Guests are allowed to leave feedback about their stay.,Guests are not obligated to leave feedback about their stay.,Guests are obligated to leave feedback about their stay.,20.0,0.9989637136459351,0.9987757802009583,0,0.9943686723709106,0.9959187507629395,1
allowed,obligatory,A,Pets are allowed to visit certain parks.,Pets are not obligated to visit certain parks.,Pets are obligated to visit certain parks.,20.0,0.9985315799713135,0.9983510971069336,0,0.9966294765472412,0.9974944591522217,1
allowed,obligatory,A,Employers are allowed to offer flexible work hours.,Employers are not obligated to offer flexible work hours.,Employers are obligated to offer flexible work hours.,20.0,0.9992218017578125,0.9989403486251831,0,0.9958252906799316,0.997035026550293,1
allowed,obligatory,A,Members are allowed to bring guests to the event.,Members are not obligated to bring guests to the event.,Members are obligated to bring guests to the event.,20.0,0.9987077713012695,0.9985020160675049,0,0.9951488971710205,0.9965673685073853,1
allowed,obligatory,A,Participants are allowed to share personal experiences in the workshop.,Participants are not obligated to share personal experiences in the workshop.,Participants are obligated to share personal experiences in the workshop.,20.0,0.9986424446105957,0.9981079697608948,0,0.9938540458679199,0.9954166412353516,1
allowed,obligatory,A,Travelers are allowed to bring one carry-on bag.,Travelers are not obligated to bring one carry-on bag.,Travelers are obligated to bring one carry-on bag.,20.0,0.9989529848098755,0.9982531666755676,0,0.994457483291626,0.9953092336654663,1
allowed,obligatory,A,Clients are allowed to reschedule their appointments.,Clients are not obligated to reschedule their appointments.,Clients are obligated to reschedule their appointments.,20.0,0.9990330338478088,0.9987499713897705,0,0.9963813424110413,0.9971518516540527,1
allowed,obligatory,A,Students are allowed to take notes during lectures.,Students are not obligated to take notes during lectures.,Students are obligated to take notes during lectures.,20.0,0.9990043044090271,0.9987268447875977,0,0.9963403940200806,0.9974035620689392,1
allowed,obligatory,A,Children are allowed to choose their own ice cream flavors.,Children are not obligated to choose their own ice cream flavors.,Children are obligated to choose their own ice cream flavors.,20.0,0.9986940622329712,0.9979928135871887,0,0.9944087862968445,0.9952070116996765,1
allowed,obligatory,A,Parents are allowed to attend school events.,Parents are not obligated to attend school events.,Parents are obligated to attend school events.,20.0,0.999029278755188,0.9988373517990112,0,0.9970439672470093,0.9979217648506165,1
allowed,obligatory,A,Employees are allowed to request time off for personal matters.,Employees are not obligated to request time off for personal matters.,Employees are obligated to request time off for personal matters.,20.0,0.9990204572677612,0.9984976053237915,0,0.9944595694541931,0.9956716299057007,1
allowed,obligatory,A,Participants are allowed to choose their teams for the project.,Participants are not obligated to choose their teams for the project.,Participants are obligated to choose their teams for the project.,20.0,0.9988758563995361,0.9984258413314819,0,0.9943253993988037,0.9956495761871338,1
allowed,obligatory,A,Visitors are allowed to explore the gardens at their leisure.,Visitors are not obligated to explore the gardens at their leisure.,Visitors are obligated to explore the gardens at their leisure.,20.0,0.9982259273529053,0.9978744983673096,0,0.9918969869613647,0.9939112663269043,1
allowed,obligatory,A,Employees are allowed to provide input on company policies.,Employees are not obligated to provide input on company policies.,Employees are obligated to provide input on company policies.,20.0,0.999020516872406,0.9984632730484009,0,0.9954143762588501,0.9963513612747192,1
allowed,obligatory,A,Guests are allowed to access the VIP lounge.,Guests are not obligated to access the VIP lounge.,Guests are obligated to access the VIP lounge.,20.0,0.9989577531814575,0.9987001419067383,0,0.995664119720459,0.9967583417892456,1
allowed,obligatory,A,Participants are allowed to showcase their artwork.,Participants are not obligated to showcase their artwork.,Participants are obligated to showcase their artwork.,20.0,0.9991873502731323,0.9988150000572205,0,0.9973233938217163,0.9980149269104004,1
allowed,obligatory,A,Students are allowed to attend guest lectures.,Students are not obligated to attend guest lectures.,Students are obligated to attend guest lectures.,20.0,0.999189019203186,0.9990251064300537,0,0.99730384349823,0.9981392621994019,1
allowed,obligatory,A,Employees are allowed to take part in team-building activities.,Employees are not obligated to take part in team-building activities.,Employees are obligated to take part in team-building activities.,20.0,0.9984605312347412,0.9977594614028931,0,0.9937728643417358,0.9947892427444458,1
allowed,obligatory,A,Customers are allowed to sample products before buying.,Customers are not obligated to sample products before buying.,Customers are obligated to sample products before buying.,20.0,0.9991874694824219,0.9989306926727295,0,0.9966576099395752,0.9976435899734497,1
allowed,obligatory,A,Teams are allowed to brainstorm new ideas during meetings.,Teams are not obligated to brainstorm new ideas during meetings.,Teams are obligated to brainstorm new ideas during meetings.,20.0,0.9991413354873657,0.9987031817436218,0,0.9958359003067017,0.9971402883529663,1
allowed,obligatory,A,Participants are allowed to engage in discussions about the topic.,Participants are not obligated to engage in discussions about the topic.,Participants are obligated to engage in discussions about the topic.,20.0,0.9983708262443542,0.997848629951477,0,0.9935004115104675,0.9950103759765625,1
